iter	Passed	Remaining
917	2184	195
918	2186	192
919	2187	190
920	2189	187
921	2191	185
922	2192	182
923	2195	180
924	2197	178
925	2198	175
926	2200	173
927	2202	170
928	2203	168
929	2205	166
930	2207	163
931	2210	161
932	2211	158
933	2213	156
934	2215	154
935	2217	151
936	2219	149
937	2220	146
938	2222	144
939	2226	142
940	2228	139
941	2231	137
942	2233	134
943	2234	132
944	2236	130
945	2238	127
946	2241	125
947	2243	123
948	2244	120
949	2246	118
950	2248	115
951	2249	113
952	2251	111
953	2252	108
954	2255	106
955	2257	103
956	2259	101
957	2260	99
958	2262	96
959	2263	94
960	2265	91
961	2267	89
962	2270	87
963	2272	84
964	2273	82
965	2275	80
966	2276	77
967	2278	75
968	2280	72
969	2281	70
970	2284	68
971	2287	65
972	2288	63
973	2290	61
974	2292	58
975	2293	56
976	2295	54
977	2297	51
978	2299	49
979	2301	46
980	2303	44
981	2305	42
982	2306	39
983	2308	37
984	2310	35
985	2311	32
986	2314	30
987	2316	28
988	2318	25
989	2319	23
990	2321	21
991	2322	18
992	2324	16
993	2325	14
994	2328	11
995	2330	9
996	2332	7
997	2334	4
998	2335	2
999	2337	0
